GLACCOUNT;FUNCTIONALAREA;TRANSACTIONTYPE;TRADINGPARTNER;CONTIGENCY1;CONTIGENCY2;CONTIGENCY3;CONTIGENCY4;CONTIGENCY5;CONTIGENCY6;CONTIGENCY7;REKNR;REKOMS;DI1NR;DI2NR;REFNR;ORGNR_COR;TRANR;CATNR;JNLOMS;XLSBLD
11111100;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111101;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111102;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111103;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111300;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111301;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111302;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111303;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111304;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11111400;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11112200;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11112201;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11112202;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11112203;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11112204;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11112300;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11113100;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121100;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121101;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121102;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121200;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
11121201;;;;;;;;;;;BS011000D;Tangible fixed assets Owned;;;;;S_MA;U;;BS
